"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Operator signs digitally","Operator chooses to sign digitally","0","2","0","0","0"
"","Self Serve Apply for licence","Saved card payment","0","1","0","0","0"
"","Search and add a vehicle","Add a vehicle to a licence","0","0","1","0","0"
"","ECMT International Removal submission page","Fees paid through Fees Tab","0","1","0","0","0"
"","import EBSR for English, Welsh and Scottish Areas","import EBSR for curtailed and suspended licence in self-serve smoke test (Resource-B)","0","0","1","0","0"
"","The Type of licence page now features the LGV Mixed and LGV Only selection with validation","Clicking Yes to LGV Goods starts the LGV Only application route and type of licence is marked as complete","0","0","2","0","0"
"","Transaction Fees Table","Search for transaction history","0","0","1","0","0"
"","LGV Mixed variation authorisation text","If zero LGVs on the licence, then displays ""HGVs"" on the authorisation page","0","0","1","0","0"
"","Caseworkers can apply for lgv only and mixed fleet licences and are redirected to the correct application overview","Caseworker clicks no to lgv only and clicks create is redirected to mixed fleet application overview and type of licence is marked complete","0","0","1","0","0"
"","Admin paying fees","Process GB payment by cash and card","0","0","1","0","0"
"","ECMT International Removal submission page","Fee payments processed by case worker","0","1","0","0","0"
"","Sign surrender","Sign with gov sign in - check that surrender has been created","0","1","0","0","0"
"","ECMT removal application Internal End to End smoke test","Case worker submits ECMT removal application successfully via Internal","0","1","0","0","0"
"","Unlicensed operator","Create unlicensed operator","0","0","1","0","0"
"","ECMT International Removal submission page","Fee waived, view receipt link is NOT displayed","0","1","0","0","0"
"","ECMT International Removal Self Service End to End Smoke test","Valid Permit Page details are displayed correctly","0","1","0","0","0"
"","Internal Search","Search a Licence on Internal","0","0","1","0","0"
"","Annual ECMT APGG Euro 5 or Euro 6 stock creation","Admin internal casewor ker creates ECMT APGG Euro 5 or Euro 6 stock successfully","0","0","1","0","0"
"","Generate letter pop up should contain letter details","Check generate letter pop up and email/print letter","0","0","1","0","0"
"","Internal Search","Search an Application on Internal","0","0","1","0","0"
"","Self Serve Apply for licence","Create and pay NI application fees","0","1","0","0","0"
"","import EBSR for English, Welsh and Scottish Areas","Short notice import EBSR in self-serve smoke test (Resource-B)","0","0","1","0","0"
"","Partner user external search by Address, Business name, Licence Number and Person's name","Business name partner external search for lorry and bus operators","0","0","1","0","0"
"","External user search by Address, Business name, Licence Number and Person's name","Business name external search for lorry and bus operators","0","0","1","0","0"
"","ECMT International Removal submission page","Application submission page details are displayed correctly","0","1","0","0","0"
